ID,RA,Dec,ID_Simbad
[KPS2012]_MWSC_4688,23 51 54.000,-86 43 12.000,[KPS2012]_MWSC_4688
[KPS2012]_MWSC_5684,12 53 43.000,-86 38 54.000,
[KPS2012]_MWSC_5692,17 47 20.000,-86 36 36.000,
[KPS2012]_MWSC_4005,00 11 28.000,-85 28 48.000,[KPS2012]_MWSC_4005
[KPS2012]_MWSC_4176,14 27 18.000,-85 25 12.000,[KPS2012]_MWSC_4176
ESO_8-6,14 56 55.000,-83 26 42.000,ESO_8-6
[KPS2012]_MWSC_4219,15 42 14.000,-83 11 42.000,[KPS2012]_MWSC_4219
[KPS2012]_MWSC_5575,01 59 42.000,-83 03 00.000,
[KPS2012]_MWSC_4682,23 43 23.000,-82 57 36.000,[KPS2012]_MWSC_4682
[KPS2012]_MWSC_5685,13 05 24.000,-82 02 36.000,
[KPS2012]_MWSC_5681,10 41 47.000,-82 00 18.000,
[KPS2012]_MWSC_2014,12 20 06.000,-81 30 36.000,[KPS2012]_MWSC_2014
[KPS2012]_MWSC_2064,12 45 43.000,-81 15 30.000,[KPS2012]_MWSC_2064
[KPS2012]_MWSC_2049,12 34 55.000,-80 57 00.000,[KPS2012]_MWSC_2049
[KPS2012]_MWSC_5688,15 25 59.000,-80 07 48.000,
ESO_26-2,20 26 38.000,-80 00 00.000,ESO_26-2
[KPS2012]_MWSC_4137,09 26 11.000,-79 44 24.000,[KPS2012]_MWSC_4137
Cl_Melotte_227,20 16 48.000,-79 02 24.000,Cl_Melotte_227
[KPS2012]_MWSC_5679,09 33 00.000,-78 58 12.000,
[KPS2012]_MWSC_5572,01 54 18.000,-78 57 54.000,
[KPS2012]_MWSC_5749,20 32 10.000,-78 36 54.000,
ESO_21-6,14 15 52.000,-78 30 54.000,ESO_21-6
[KPS2012]_MWSC_5672,07 15 20.000,-78 26 24.000,
[KPS2012]_MWSC_4114,06 07 52.000,-78 13 12.000,[KPS2012]_MWSC_4114
[KPS2012]_MWSC_5680,09 43 48.000,-78 12 18.000,
[KPS2012]_MWSC_1955,11 33 00.000,-77 49 30.000,[KPS2012]_MWSC_1955
[KPS2012]_MWSC_5698,18 41 49.000,-77 43 24.000,
[KPS2012]_MWSC_2358,16 10 29.000,-77 39 36.000,[KPS2012]_MWSC_2358
[KPS2012]_MWSC_4140,09 36 36.000,-77 28 48.000,[KPS2012]_MWSC_4140
[KPS2012]_MWSC_2089,13 11 55.000,-77 27 00.000,[KPS2012]_MWSC_2089
[KPS2012]_MWSC_1638,09 13 41.000,-77 25 30.000,[KPS2012]_MWSC_1638
Chamaleon_I,11 03 36.000,-77 20 24.000,
[KPS2012]_MWSC_4668,22 56 56.000,-77 10 12.000,[KPS2012]_MWSC_4668
[KPS2012]_MWSC_2083,13 09 16.000,-77 08 06.000,[KPS2012]_MWSC_2083
NGC_1520,03 57 52.000,-76 48 00.000,NGC_1520
[KPS2012]_MWSC_1673,09 28 46.000,-76 05 06.000,[KPS2012]_MWSC_1673
[KPS2012]_MWSC_1940,11 23 06.000,-75 00 54.000,[KPS2012]_MWSC_1940
[KPS2012]_MWSC_5676,08 41 55.000,-74 45 54.000,
ESO_43-13,17 04 44.000,-74 21 00.000,ESO_43-13
[FSR2007]_1647,13 45 41.000,-73 57 36.000,[FSR2007]_1647
[KPS2012]_MWSC_2112,13 22 48.000,-73 34 30.000,[KPS2012]_MWSC_2112
[KPS2012]_MWSC_4138,09 27 07.000,-73 30 00.000,[KPS2012]_MWSC_4138
[KPS2012]_MWSC_5671,07 05 06.000,-73 22 48.000,
[KPS2012]_MWSC_2453,16 45 14.000,-72 49 54.000,[KPS2012]_MWSC_2453
[KPS2012]_MWSC_1720,09 50 35.000,-72 45 42.000,[KPS2012]_MWSC_1720
[KPS2012]_MWSC_2214,14 21 41.000,-72 05 06.000,[KPS2012]_MWSC_2214
[KPS2012]_MWSC_2079,13 01 07.000,-71 23 42.000,[KPS2012]_MWSC_2079
ESO_65-7,13 29 10.000,-71 15 54.000,ESO_65-7
[KPS2012]_MWSC_2181,13 55 03.000,-70 45 00.000,[KPS2012]_MWSC_2181
[KPS2012]_MWSC_5691,17 26 10.000,-70 44 06.000,
NGC_1557,04 13 08.000,-70 27 54.000,NGC_1557
NGC_5359,14 00 00.000,-70 24 00.000,NGC_5359
[KPS2012]_MWSC_5674,08 06 34.000,-70 19 30.000,
[KPS2012]_MWSC_1799,10 23 40.000,-69 49 30.000,[KPS2012]_MWSC_1799
[KPR2005]_69,12 06 18.000,-69 46 48.000,[KPR2005]_69
ESO_65-3,12 51 18.000,-69 43 48.000,ESO_65-3
[KPR2005]_51,09 18 05.000,-69 41 24.000,[KPR2005]_51
[KPS2012]_MWSC_2188,13 57 56.000,-69 21 54.000,[KPS2012]_MWSC_2188
ESO_62-8,10 21 40.000,-69 20 54.000,ESO_62-8
[KPS2012]_MWSC_1802,10 24 47.000,-69 04 12.000,[KPS2012]_MWSC_1802
ESO_62-11,10 38 56.000,-69 02 06.000,ESO_62-11
[KPS2012]_MWSC_1943,11 27 50.000,-68 44 06.000,[KPS2012]_MWSC_1943
[KPS2012]_MWSC_4483,19 17 08.000,-68 31 30.000,[KPS2012]_MWSC_4483
ESO_64-5,12 24 43.000,-68 29 06.000,ESO_64-5
NGC_1901,05 18 14.640,-68 17 38.400,NGC_1901
[KPR2005]_78,15 05 37.000,-68 24 18.000,[KPR2005]_78
Cl_Collinder_261,12 38 04.560,-68 22 37.200,Cl_Collinder_261
[KPS2012]_MWSC_2139,13 35 39.000,-68 06 48.000,[KPS2012]_MWSC_2139
C_1102-676,11 04 53.000,-67 56 36.000,C_1102-676
[KPS2012]_MWSC_1736,09 58 49.000,-67 44 18.000,[KPS2012]_MWSC_1736
[KPS2012]_MWSC_2151,13 42 05.000,-67 42 00.000,[KPS2012]_MWSC_2151
[KPR2005]_71,12 20 07.920,-67 30 32.400,[KPR2005]_71
Cl_Ruprecht_110,14 05 38.000,-67 28 30.000,Cl_Ruprecht_110
NGC_2348,07 03 04.000,-67 23 24.000,NGC_2348
[KPR2005]_73,12 37 07.440,-67 12 10.800,[KPR2005]_73
C_1250-669,12 53 50.880,-67 10 48.000,C_1250-669
[KPS2012]_MWSC_1971,11 44 35.000,-67 05 06.000,[KPS2012]_MWSC_1971
C_1315-669,13 18 10.320,-67 04 44.400,C_1315-669
[KPS2012]_MWSC_2052,12 36 08.000,-66 56 30.000,[KPS2012]_MWSC_2052
[KPS2012]_MWSC_5694,17 57 22.000,-66 48 00.000,
[KPR2005]_57,10 10 55.000,-66 42 00.000,[KPR2005]_57
[KPS2012]_MWSC_2149,13 41 20.000,-66 38 12.000,[KPS2012]_MWSC_2149
[KPS2012]_MWSC_1396,07 58 32.000,-66 37 48.000,[KPS2012]_MWSC_1396
[KPS2012]_MWSC_2039,12 28 32.000,-66 33 36.000,[KPS2012]_MWSC_2039
[KPR2005]_76,13 52 14.000,-66 24 18.000,[KPR2005]_76
C_1439-661,14 49 14.640,-66 27 54.000,C_1439-661
[KPR2004b]_323,13 23 58.080,-66 12 14.400,[KPR2004b]_323
Cl_Alessi_6,14 40 13.920,-66 07 37.200,Cl_Alessi_6
C_1345-658,13 48 13.920,-66 03 57.600,C_1345-658
ESO_96-4,13 15 13.920,-65 55 12.000,ESO_96-4
NGC_1641,04 35 26.000,-65 44 24.000,NGC_1641
[DBS2003]_72,11 45 57.000,-65 33 18.000,[DBS2003]_72
[KPS2012]_MWSC_2213,14 19 37.000,-65 25 54.000,[KPS2012]_MWSC_2213
C_1350-650,13 54 36.000,-65 20 06.000,C_1350-650
C_1309-650,13 12 00.000,-65 18 00.000,C_1309-650
C_0947-650,09 49 07.440,-65 15 32.400,C_0947-650
[KPS2012]_MWSC_1999,12 07 39.000,-65 11 06.000,[KPS2012]_MWSC_1999
Cl_Melotte_101,10 42 08.400,-65 06 36.000,Cl_Melotte_101
[KPS2012]_MWSC_1900,11 09 13.000,-65 03 36.000,[KPS2012]_MWSC_1900
NGC_4815,12 57 59.760,-64 57 36.000,NGC_4815
C_1317-646,13 19 44.880,-64 56 38.400,C_1317-646
Cl_Loden_995,13 54 18.000,-64 57 00.000,Cl_Loden_995
[FSR2007]_1685,14 57 14.000,-64 56 42.000,[FSR2007]_1685
[DBS2003]_73,11 50 10.000,-64 52 12.000,[DBS2003]_73
ESO_99-6,15 29 48.000,-64 51 00.000,ESO_99-6
[KPS2012]_MWSC_2292,15 25 50.000,-64 49 12.000,[KPS2012]_MWSC_2292
ESO_92-5,10 03 12.240,-64 45 18.000,ESO_92-5
NGC_4463,12 29 51.840,-64 48 00.000,NGC_4463
C_1217-645,12 20 41.000,-64 46 30.000,C_1217-645
[KPS2012]_MWSC_2247,14 44 35.000,-64 44 24.000,[KPS2012]_MWSC_2247
NGC_5288,13 48 46.320,-64 40 48.000,NGC_5288
