name,logAge,logMass
MWSC_4688,9.39,1.4548448600085102
MWSC_5684,9.18,1.414973347970818
MWSC_5692,8.93,1.146128035678238
MWSC_4005,9.375,1.3222192947339193
MWSC_4176,9.315,1.8893017025063104
ESO_008-06,9.3,1.591064607026499
MWSC_4219,9.1,1.6766936096248666
MWSC_5575,9.2,1.0
MWSC_4682,9.28,1.462397997898956
MWSC_5685,9.15,1.505149978319906
MWSC_5681,8.98,1.3117538610557542
FSR_1626,9.6,1.7363965022766426
FSR_1631,9.5,1.6989700043360187
FSR_1629,9.7,1.591064607026499
MWSC_5688,8.99,1.0969100130080565
ESO_026-02,9.7,1.3424226808222062
MWSC_4137,9.21,1.6180480967120927
Melotte_227,9.7,1.8356905714924256
MWSC_5679,8.5,1.4065401804339552
MWSC_5572,9.3,0.8450980400142568
MWSC_5749,9.345,1.3710678622717363
ESO_021-06,9.5,1.6483600109809315
MWSC_5672,9.49,1.2174839442139063
MWSC_4114,9.4,1.4771212547196624
MWSC_5680,9.3,1.469822015978163
FSR_1607,9.565,1.5378190950732742
MWSC_5698,8.89,1.3891660843645324
FSR_1675,9.2,1.423245873936808
MWSC_4140,9.28,1.7481880270062005
FSR_1640,9.2,1.591064607026499
FSR_1579,9.5,1.5118833609788744
Chamaleon_I,6.0,1.5740312677277188
MWSC_4668,9.1,1.0413926851582251
FSR_1639,9.3,1.6020599913279623
NGC_1520,9.43,0.6989700043360189
FSR_1577,9.6,1.6074550232146685
FSR_1598,9.7,1.462397997898956
MWSC_5676,9.15,1.462397997898956
ESO_043-13,9.315,1.5622928644564746
FSR_1647,9.455,1.6812412373755872
FSR_1642,9.5,1.591064607026499
MWSC_4138,9.28,1.711807229041191
MWSC_5671,9.4,1.505149978319906
FSR_1692,9.45,1.5118833609788744
FSR_1566,9.43,1.5563025007672873
FSR_1667,9.35,1.845098040014257
FSR_1638,9.5,1.423245873936808
ESO_065-07,9.4,1.5250448070368452
FSR_1658,9.55,1.8325089127062364
MWSC_5691,8.35,1.290034611362518
NGC_1557,9.5,1.0
NGC_5359,8.75,2.673
MWSC_5674,9.35,1.3324384599156054
FSR_1572,9.35,1.4471580313422192
ASCC_69,7.91,3.264
ESO_065-03,8.96,1.6384892569546374
ASCC_51,8.54,2.79
FSR_1661,9.4,1.5965970956264601
ESO_062-08,9.44,1.130333768495006
FSR_1568,9.35,1.662757831681574
ESO_062-11,9.08,0.9159999999999999
FSR_1593,9.455,1.7781512503836436
MWSC_4483,9.31,1.7520484478194385
ESO_064-05,7.885,1.7403626894942439
NGC_1901,8.85,2.095
ASCC_78,9.38,3.2560000000000002
Collinder_261,9.7,2.323252100171687
FSR_1650,9.0,1.7634279935629373
Ruprecht_163,9.365,1.4771212547196624
FSR_1554,9.05,1.505149978319906
FSR_1654,8.78,1.2430380486862944
ASCC_71,8.0,3.832
Ruprecht_110,8.7,2.515
NGC_2348,9.475,1.3324384599156054
ASCC_73,8.19,2.636
vdBergh-Hagen_140,9.4,1.6334684555795864
FSR_1597,9.3,1.5440680443502757
Collinder_268,8.79,1.505149978319906
FSR_1623,8.9,1.7520484478194385
MWSC_5694,9.0,1.2041199826559248
ASCC_57,9.26,3.667
FSR_1656,9.25,1.6334684555795864
FSR_1514,9.5,1.1760912590556813
FSR_1617,8.9,1.7201593034059568
ASCC_76,7.75,2.315
vdBergh-Hagen_164,7.1,2.315
Collinder_269,8.55,2.4730000000000003
Alessi_6,8.32,1.8
Collinder_277,8.3,1.2304489213782739
vdBergh-Hagen_144,9.0,1.1903316981702914
NGC_1641,9.52,1.591064607026499
DBSB_72,6.1,1.2671717284030137
DBSB_88,7.85,1.0
Loden_1002,8.0,1.662757831681574
Loden_757,8.07,1.5440680443502757
Ruprecht_84,8.56,2.311
FSR_1605,9.5,1.6857417386022637
Melotte_101,8.1,3.262
FSR_1584,8.875,1.5314789170422551
NGC_4815,8.6,1.5378190950732742
Ruprecht_107,8.235,1.0969100130080565
Loden_995,8.625,3.9939999999999998
FSR_1685,9.25,1.3979400086720377
DBSB_73,6.5,1.1139433523068367
ESO_099-06,8.9,1.4548448600085102
FSR_1693,9.11,1.6384892569546374
ESO_092-05,9.3,1.2787536009528289
NGC_4463,7.97,1.821
Loden_615,8.63,2.088
FSR_1678,9.0,1.6283889300503116
NGC_5288,9.1,1.7888751157754168
FSR_1541,9.4,1.4471580313422192
ESO_097-15,8.25,1.4842998393467859
ESO_092-18,9.15,1.2430380486862944
Ruprecht_98,8.8,2.418
Loden_848,8.75,1.9084850188786497
FSR_1641,8.95,1.380211241711606
FSR_1585,9.145,1.7853298350107671
ASCC_82,8.6,2.569
IC_2602,8.345,2.8289999999999997
ASCC_70,6.92,4.566
ASCC_56,8.635,2.728
Loden_894,9.04,1.6074550232146685
MWSC_4463,9.15,1.7958800173440752
Collinder_271,7.2,1.2430380486862944
Juchert_13,9.0,1.4065401804339552
vdBergh-Hagen_132,8.45,2.0718820073061255
Ruprecht_99,8.375,1.2570000000000001
vdBergh-Hagen_111,8.35,3.267
NGC_6588,9.4,1.5314789170422551
DBSB_79,8.4,1.4913616938342726
Teutsch_79,8.78,1.3891660843645324
Saurer_4,9.18,0.9030899869919435
IC_2948,6.6,2.92
Ruprecht_94,7.0,4.418
Melotte_105,8.375,1.9493900066449128
NGC_5155,7.4,1.7323937598229686
FSR_1616,8.3,1.8512583487190752
NGC_5045,7.955,3.813
Platais_12,8.4,3.5069999999999997
Loden_1375,7.9,1.711807229041191
vdBergh-Hagen_131,9.2,1.550228353055094
vdBergh-Hagen_121,6.64,4.4430000000000005
vdBergh-Hagen_150,7.5,1.5378190950732742
DBSB_69,6.6,1.0969100130080565
DBSB_75,6.0,1.4313637641589874
FSR_1622,8.6,1.7403626894942439
NGC_4052,8.4,2.265
SAI_118,7.3,1.9084850188786497
Ruprecht_88,8.98,1.6020599913279623
DBSB_68,8.525,1.1613680022349748
Hogg_15,6.6,1.5250448070368452
FSR_1653,8.85,1.6180480967120927
Ruprecht_101,8.87,2.062581984228163
Dias_4,9.26,1.5314789170422551
NGC_4609,8.1,1.944
IC_2944,6.25,3.43
NGC_5281,7.76,2.135
DBSB_129,6.0,1.2787536009528289
NGC_5269,8.52,1.9777236052888478
Loden_1373,7.95,1.6483600109809315
MWSC_5696,8.55,1.255272505103306
Trumpler_21,7.85,2.824
IC_2714,8.65,2.235
Ruprecht_102,7.5,2.100370545117563
FSR_1591,8.7,1.591064607026499
Ruprecht_97,8.65,1.3710678622717363
Danks_1,6.0,1.0
NGC_3036,8.99,1.969
Danks_2,6.3,1.1139433523068367
DBSB_85,7.45,1.2174839442139063
FSR_1595,6.35,1.9912260756924949
Ruprecht_100,8.6,1.7442929831226763
Teutsch_77,7.7,1.3222192947339193
Ruprecht_112,8.74,1.9890046156985368
Stock_14,6.8,2.8289999999999997
Lynga_15,7.4,1.6857417386022637
Loden_807,8.3,1.9809999999999999
DBSB_60,6.75,1.2041199826559248
FSR_1659,8.315,1.968482948553935
Loden_467,6.6,1.5314789170422551
Bica_5,8.88,1.6580113966571124
C1331-622,9.25,1.7634279935629373
DBSB_133,8.335,1.6989700043360187
ASCC_75,6.65,3.955
Basel_18,7.92,3.2760000000000002
FSR_1586,8.7,1.845098040014257
Ruprecht_162,8.385,1.2304489213782739
DBSB_70,7.7,1.3222192947339193
SAI_116,8.685,1.5440680443502757
MWSC_5697,9.25,1.505149978319906
ESO_132-14,9.15,1.6483600109809315
Ruprecht_96,9.06,1.425
Lynga_1,8.39,3.2060000000000004
FSR_1630,6.4,1.8603380065709938
Pismis_18,8.975,1.7958800173440752
Loden_991,7.25,1.8721562727482928
Loden_1339,8.09,1.4471580313422192
FSR_1645,8.0,2.12057393120585
NGC_4349,8.41,3.6439999999999997
NGC_5316,8.23,3.0410000000000004
DBSB_78,6.0,1.0969100130080565
Loden_213,8.875,1.568201724066995
Loden_624,7.6,2.698535492562001
FSR_1669,8.0,1.845098040014257
Loden_1101,6.55,1.9637878273455553
ESO_137-43,8.9,1.3979400086720377
Kronberger_39,6.0,0.5440680443502757
ESO_137-23,9.55,1.6283889300503116
Bochum_12,7.995,2.83
Loden_1409,8.0,2.3106933123433606
Ruprecht_92,7.65,3.512
DBSB_77,6.3,1.1760912590556813
NGC_3766,7.95,3.0460000000000003
Trumpler_11,8.155,0.9542425094393249
DBSB_80,6.9,1.2041199826559248
Ruprecht_105,9.1,1.889
FSR_1668,8.9,2.03342375548695
DBSB_66,6.0,1.3710678622717363
