COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
1,Berkeley_58,116.73,-1.29,14.555,0.55,3715,8.2,,,,,22.9,10.9,3.38,0.623,Cl_Berkeley_58
2,Berkeley_59,118.22,5.0,13.782,1.22,1000,6.8,,,,,8.0,3.5,2.221,0.564,Cl_Berkeley_59
3,Blanco_1,14.17,-79.02,7.18,0.01,269,8.32,22.8,3.8,3.6460000000000004,0.21899999999999997,20.0,2.4,3.48,0.16,Blanco_1
4,Alessi_20,117.64,-3.69,8.948,0.22,450,8.22,5.4,1.6,1.742,0.391,4.0,0.8,1.3619999999999999,0.25,Alessi_20
5,Mayer_1,119.44,-0.93,12.015,0.4,1429,7.74,,,,,16.7,5.6,3.15,0.442,Mayer_1
6,Stock_20,119.92,-0.1,10.413,0.2,909,8.53,,,,,6.6,1.3,1.974,0.26,Cl_Stock_20
7,Stock_21,120.05,-4.83,11.447000000000001,0.4,1100,8.72,,,,,8.3,2.4,2.259,0.376,C_0027+577
8,NGC_129,120.27,-2.54,12.759,0.55,1625,7.87,14.9,2.7,2.984,0.24,15.2,2.7,3.011,0.235,NGC_129
9,NGC_146,120.87,0.5,13.897,0.48,3032,7.37,,,,,20.8,7.1,3.298,0.445,NGC_146
10,NGC_225,122.01,-1.08,9.925,0.27,657,8.19,,,,,5.7,1.3,1.787,0.311,NGC_225
11,Berkeley_4,122.28,1.53,14.696,0.7,3200,7.08,30.0,5.7,3.7510000000000003,0.25,31.2,7.8,3.803,0.32799999999999996,Berkeley_4
12,IC_1590,123.12,-6.24,12.879000000000001,0.32,2384,6.84,,,,,6.0,1.8,1.723,0.39399999999999996,IC_1590
13,Alessi_1,123.26,-13.3,9.825,0.1,800,8.85,12.3,3.2,2.7910000000000004,0.34600000000000003,9.9,1.5,2.512,0.2,Alessi_1
14,NGC_381,124.94,-1.21,11.175999999999998,0.34,1058,8.77,,,,,4.7,1.4,1.515,0.384,NGC_381
15,Platais_2,128.23,-30.57,6.671,0.05,201,8.54,10.5,1.2,2.6260000000000003,0.156,11.0,2.3,2.678,0.281,Platais_2
16,NGC_433,125.88,-2.61,13.21,0.55,2000,7.65,,,,,12.2,4.0,2.682,0.43,NGC_433
17,NGC_457,126.63,-4.37,13.384,0.47,2429,7.38,23.3,5.3,3.478,0.299,20.3,3.7,3.299,0.239,NGC_457
18,NGC_581,128.05,-1.81,12.915,0.39,2194,7.44,,,,,8.9,1.9,2.245,0.276,M_103
19,NGC_637,128.54,1.73,13.562999999999999,0.61,2160,7.21,,,,,7.0,1.9,1.926,0.363,NGC_637
20,NGC_654,129.08,-0.37,14.245999999999999,0.87,2041,7.3,,,,,7.9,3.4,2.096,0.561,NGC_654
21,NGC_659,129.37,-1.54,13.452,0.65,1938,7.8,,,,,7.4,2.3,2.024,0.405,NGC_659
22,NGC_663,129.46,-0.94,13.87,0.78,1952,7.14,27.8,6.2,3.7460000000000004,0.293,23.4,3.4,3.523,0.193,NGC_663
23,Collinder_463,127.28,9.4,10.162,0.3,702,8.35,17.5,1.7,3.2510000000000003,0.13,17.9,1.9,3.279,0.146,Collinder_463
24,Stock_4,131.25,-4.81,10.706,0.1,1200,8.7,9.8,1.7,2.448,0.22699999999999998,11.2,1.9,2.623,0.22399999999999998,C_0149+568
25,NGC_752,137.12,-23.26,8.427999999999999,0.04,458,9.14,20.0,1.9,3.44,0.133,17.4,1.5,3.258,0.12300000000000001,NGC_752
