Name	dV	err_dV	[Fe/H]	err_[Fe/H]	t[Gyr]	err_t	Rgc[kpc]	z[pc]	flag	tJP94[Gyr]
King 2	2.2	0.15	0.00	0.20	5.03	1.31	12.98	-510	2	5.6
IC 166	1	0.25	-0.27	0.15	1.32	0.43	10.74	-10	1	1.5
NGC 752	0.9	0.05	-0.09	0.06	1.24	0.20	8.75	-145	1	1.4
Berkeley 66	2.0	0.25	0.00	0.20	3.98	1.52	12.59	20	2	4.4
NGC 1193	2.1	0.15	-0.35	0.11	4.23	1.08	12.00	-845	1	4.9
King 5	0.4	0.15	-0.30	0.15	0.76	0.16	10.34	-163	2	0.9
NGC 1245	0.7	0.15	0.10	0.15	1.06	0.23	11.09	-465	1	1.0
NGC 1798	1.0	0.15	-0.47	0.15	1.28	0.29	11.79	290	2	1.5
NGC 1817	0.8	0.05	-0.10	0.09	1.12	0.18	10.26	-410	1	1.3
Berkeley 17	2.8	0.15	-0.33	0.15	10.06	2.77	10.89	-155	1	12.6
Berkeley 18	2.3	0.15	0.02	0.15	5.69	1.49	12.09	325	1	5.6
Berkeley 20	2.1	0.05	-0.61	0.15	4.05	0.69	16.12	-2420	2	4.9
Berkeley 21	1.6	0.25	-0.97	0.15	2.18	0.78	14.27	-255	1	2.8
Berkeley 22	2.1	0.25	-0.30	0.15	4.26	1.65	11.92	-530	1	3.5
NGC 2141	1.6	0.25	-0.26	0.15	2.45	0.88	12.60	-430	2	2.8
NGC 2158	1.4	0.15	-0.48	0.11	1.91	0.45	12.36	120	1	2.2
NGC 2194	0.5	0.15	0.00	0.20	0.87	0.19	11.06	-110	2	1.0
NGC 2192	0.6	0.15	-0.31	0.15	0.91	0.20	11.88	635	2	1.1
NGC 2236	0.4	0.25	0.00	0.20	0.80	0.24	11.61	-100	2	0.9
NGC 2243	2.2	0.15	-0.48	0.06	4.66	1.20	10.76	-1130	1	5.6
Trumpler 5	2.3	0.25	0.00	0.20	5.67	2.26	11.13	50	2	4.9
NGC 2266	0.5	0.25	0.00	0.20	0.87	0.26	11.80	600	2	1.0
Berkeley 29	2.1	0.05	-0.18	0.15	4.34	0.74	18.72	1465	1	5.6
Berkeley 31	2.3	0.25	-0.40	0.15	5.32	2.11	12.02	340	2	3.5
Berkeley 30	0.3	0.15	0.00	0.20	0.74	0.16	10.58	120	2	0.9
Berkeley 32	2.4	0.15	-0.50	0.15	5.91	1.56	11.30	235	2	7.2
To 2	1.5	0.05	-0.45	0.06	2.13	0.35	13.08	-725	1	2.5
NGC 2324	0.3	0.25	-0.52	0.11	0.67	0.20	11.29	185	1	0.9
NGC 2354	0.8	0.25	0.00	0.20	1.14	0.36	9.56	-215	2	1.3
NGC 2355	0.4	0.15	-0.07	0.15	0.79	0.17	10.52	450	2	0.9
NGC 2360	0.5	0.05	-0.14	0.08	0.85	0.14	9.28	-30	1	1.0
Haf 6	0.3	0.25	0.00	0.20	0.73	0.21	10.91	15	2	0.9
Me 66	2.3	0.15	-0.38	0.06	5.33	1.38	9.44	-710	1	6.3
Me 71	0.5	0.15	-0.30	0.06	0.83	0.18	10.46	210	1	1.0
AM 2	2.5	0.15	0.00	0.15	7.24	1.93	14.06	-740	2	8.3
NGC 2506	1.5	0.05	-0.42	0.09	2.14	0.35	10.81	555	1	2.5
Pismis 2	1.1	0.25	-0.07	0.15	1.51	0.50	9.47	-165	2	1.7
Pismis 3	1.7	0.25	0.00	0.20	2.84	1.04	8.83	10	2	3.1
NGC 2627	1.6	0.15	0.00	0.20	2.55	0.62	9.28	220	2	2.8
NGC 2660	0.4	0.15	-0.55	0.11	0.73	0.16	9.18	-155	1	0.9
NGC 2849	0.5	0.25	0.00	0.20	0.87	0.26	10.64	630	2	1.0
092-SC18	2.2	0.25	0.00	0.20	5.03	1.98	9.00	-740	2	5.6
NGC 3680	1	0.15	0.06	0.08	1.37	0.31	8.27	310	1	1.5
Collinder 261	2.6	0.15	-0.16	0.15	8.00	2.16	7.49	-250	2	9.5
NGC 4815	1.1	0.25	0.00	0.20	1.52	0.51	7.90	-80	2	1.7
NGC 5822	0.8	0.25	0.09	0.06	1.16	0.36	7.94	45	1	1.3
IC 4651	1.2	0.15	0.00	0.09	1.68	0.39	7.65	-125	1	1.8
IC 4756	0.4	0.15	-0.03	0.06	0.79	0.17	8.19	35	1	0.9
Berkeley 42	0.4	0.25	0.00	0.20	0.80	0.24	7.60	-45	2	0.9
NGC 6802	0.4	0.25	0.00	0.20	0.80	0.24	7.96	15	2	0.9
NGC 6819	1.7	0.15	0.15	0.09	2.91	0.71	8.18	300	1	3.1
NGC 6827	0.5	0.25	0.00	0.20	0.87	0.26	8.32	-355	2	1.0
NGC 6939	1.4	0.25	-0.05	0.11	2.05	0.71	8.70	255	1	2.2
Berkeley 54	2.5	0.25	0.02	0.09	7.27	2.97	8.54	-165	1	7.2
NGC 7044	0.7	0.15	0.00	0.20	1.04	0.23	9.08	-280	2	1.2
Berkeley 56	2.3	0.25	0.00	0.20	5.67	2.26	9.92	-515	2	6.3
NGC 7142	2	0.15	0.09	0.11	4.04	1.02	9.70	485	1	4.4
King 9	2	0.25	0.00	0.20	3.98	1.52	10.41	-145	2	4.4
King 11	2.3	0.15	-0.23	0.15	5.46	1.43	9.69	245	1	6.3
093-SC08	2.4	0.25	0.00	0.20	6.40	2.59	13.00	-1000	2	7.3
van den Bergh-Hagen 176	2.5	0.25	0.00	0.20	7.24	2.98	12.00	1350	2	8.6
M 67	2.3	0.05	0.02	0.06	4.30	0.50	9.05	405	0	6.3
NGC 2477	0.5	0.15	0.00	0.08	1.00	0.30	8.89	-115	0	1.0
NGC 188	2.4	0.15	-0.03	0.06	6.30	0.80	9.35	580	0	7.2
NGC 7789	1.1	0.05	-0.13	0.08	1.80	0.30	9.44	-170	0	1.7
Berkeley 39	2.4	0.05	-0.15	0.09	7.00	1.00	11.71	700	0	7.2
NGC 2204	1.4	0.15	-0.38	0.08	2.00	0.30	11.84	-1200	0	2.2
NGC 2420	1.6	0.05	-0.44	0.06	2.20	0.30	10.59	765	0	2.8
NGC 6791	2.6	0.05	0.40	0.06	10.20	1.20	8.12	800	0	9.5
Hyades	0.4	0.05	0.13	0.06	0.70	0.10	8.55	-20	0	0.9
Praesepe	0.3	0.05	0.13	0.06	0.70	0.10	8.62	85	0	0.9
