Simbad_ID,Name,dV,err_dV,[Fe/H],err_[Fe/H],t[Gyr],err_t,Rgc[kpc],z[pc],flag,tJP94[Gyr]
Cl_King_2,Cl_King_2,2.2,0.15,0.0,0.2,5.03,1.31,12.98,-510,2,5.6
IC_166,IC_166,1.0,0.25,-0.27,0.15,1.32,0.43,10.74,-10,1,1.5
NGC_752,NGC_752,0.9,0.05,-0.09,0.06,1.24,0.2,8.75,-145,1,1.4
Cl_Berkeley_66,Cl_Berkeley_66,2.0,0.25,0.0,0.2,3.98,1.52,12.59,20,2,4.4
NGC_1193,NGC_1193,2.1,0.15,-0.35,0.11,4.23,1.08,12.0,-845,1,4.9
C_0311+525,C_0311+525,0.4,0.15,-0.3,0.15,0.76,0.16,10.34,-163,2,0.9
NGC_1245,NGC_1245,0.7,0.15,0.1,0.15,1.06,0.23,11.09,-465,1,1.0
NGC_1798,NGC_1798,1.0,0.15,-0.47,0.15,1.28,0.29,11.79,290,2,1.5
NGC_1817,NGC_1817,0.8,0.05,-0.1,0.09,1.12,0.18,10.26,-410,1,1.3
Cl_Berkeley_17,Cl_Berkeley_17,2.8,0.15,-0.33,0.15,10.06,2.77,10.89,-155,1,12.6
Cl_King_22,Cl_King_22,2.3,0.15,0.02,0.15,5.69,1.49,12.09,325,1,5.6
Cl_Berkeley_20,Cl_Berkeley_20,2.1,0.05,-0.61,0.15,4.05,0.69,16.12,-2420,2,4.9
Cl_Berkeley_21,Cl_Berkeley_21,1.6,0.25,-0.97,0.15,2.18,0.78,14.27,-255,1,2.8
Cl_Berkeley_22,Cl_Berkeley_22,2.1,0.25,-0.3,0.15,4.26,1.65,11.92,-530,1,3.5
NGC_2141,NGC_2141,1.6,0.25,-0.26,0.15,2.45,0.88,12.6,-430,2,2.8
NGC_2158,NGC_2158,1.4,0.15,-0.48,0.11,1.91,0.45,12.36,120,1,2.2
NGC_2194,NGC_2194,0.5,0.15,0.0,0.2,0.87,0.19,11.06,-110,2,1.0
NGC_2192,NGC_2192,0.6,0.15,-0.31,0.15,0.91,0.2,11.88,635,2,1.1
NGC_2236,NGC_2236,0.4,0.25,0.0,0.2,0.8,0.24,11.61,-100,2,0.9
NGC_2243,NGC_2243,2.2,0.15,-0.48,0.06,4.66,1.2,10.76,-1130,1,5.6
C_0634+094,C_0634+094,2.3,0.25,0.0,0.2,5.67,2.26,11.13,50,2,4.9
NGC_2266,NGC_2266,0.5,0.25,0.0,0.2,0.87,0.26,11.8,600,2,1.0
Cl_Berkeley_29,Cl_Berkeley_29,2.1,0.05,-0.18,0.15,4.34,0.74,18.72,1465,1,5.6
Cl_Berkeley_31,Cl_Berkeley_31,2.3,0.25,-0.4,0.15,5.32,2.11,12.02,340,2,3.5
Cl_Berkeley_30,Cl_Berkeley_30,0.3,0.15,0.0,0.2,0.74,0.16,10.58,120,2,0.9
Cl_Berkeley_32,Cl_Berkeley_32,2.4,0.15,-0.5,0.15,5.91,1.56,11.3,235,2,7.2
C_0701-207,C_0701-207,1.5,0.05,-0.45,0.06,2.13,0.35,13.08,-725,1,2.5
NGC_2324,NGC_2324,0.3,0.25,-0.52,0.11,0.67,0.2,11.29,185,1,0.9
NGC_2354,NGC_2354,0.8,0.25,0.0,0.2,1.14,0.36,9.56,-215,2,1.3
NGC_2355,NGC_2355,0.4,0.15,-0.07,0.15,0.79,0.17,10.52,450,2,0.9
NGC_2360,NGC_2360,0.5,0.05,-0.14,0.08,0.85,0.14,9.28,-30,1,1.0
Cl_Haffner_6,Cl_Haffner_6,0.3,0.25,0.0,0.2,0.73,0.21,10.91,15,2,0.9
