N,Name,Otype,RA2000,Dec2000,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref
1,NGC 104,GlC,00 24 05.359,-72 04 53.20,,5.78,4.09,,,,3449,0
2,NGC 188,OpC,00 48 26,+85 15.3,,8.91,8.1,,,,787,0
3,King 2,OpC,00 51 00,+58 11.0,,21.39,19.78,,,,39,0
4,IC 166,OpC,01 52 23,+61 51.9,,13.0,11.7,,,,61,0
5,NGC 752,OpC,01 57 41,+37 47.1,,6.47,5.7,,,,522,0
6,Berkeley 66,OpC,03 04 04,+58 44.4,,,,,,,49,0
7,NGC 1193,OpC,03 05 56.0,+44 23 00,,,12.6,,,,63,0
8,C 0311+525,OpC,03 14 46,+52 41.8,,,,,,,47,0
9,NGC 1245,OpC,03 14 48,+47 15.2,,9.16,8.4,,,,115,0
10,Hyades,OpC,04 26 54.00,+15 52 00.0,,,,,,,2565,0
11,NGC 1798,OpC,05 11 38,+47 41.7,,,,,,,41,0
12,NGC 1817,OpC,05 12 15,+16 41.4,,8.44,7.7,,,,145,0
13,Berkeley 17,OpC,05 20 37,+30 35.4,,,,,,,128,0
14,King 22,OpC,05 22 24,+45 24.3,,,,,,,47,0
15,Berkeley 20,OpC,05 32 37.0,+00 11 18,,,,,,,97,0
16,Berkeley 21,OpC,05 51 42,+21 47.0,,12.26,11.1,,,,89,0
17,Berkeley 22,OpC,05 58.4,+07 50,,,,,,,62,0
18,NGC 2141,OpC,06 02 55,+10 26.8,,10.43,9.4,,,,113,0
19,NGC 2158,OpC,06 07 25,+24 05.8,,9.49,8.6,,,,237,0
20,NGC 2194,OpC,06 13 46,+12 49.1,,9.03,8.5,,,,63,1
21,NGC 2192,OpC,06 15 17,+39 52.1,,,10.9,,,,32,0
22,NGC 2204,OpC,06 15 33,-18 39.9,,9.35,8.6,,,,124,0
23,NGC 2243,OpC,06 29 34,-31 17.0,,10.12,9.4,,,,207,0
24,NGC 2236,OpC,06 29 40,+06 49.0,,9.08,8.5,,,,36,0
25,C 0634+094,OpC,06 36 29,+09 28.2,,,10.9,,,,70,0
26,NGC 2266,OpC,06 43 20,+26 59.1,,,9.5,,,,50,0
27,Berkeley 29,OpC,06 53 04.2,+16 55 39,,14.3,,,,,137,0
28,Berkeley 31,OpC,06 57 36,+08 16.0,,,,,,,93,0
29,Berkeley 30,OpC,06 57 48,+03 13.0,,,,,,,21,0
30,Berkeley 32,OpC,06 58 06,+06 26.0,,,,,,,105,0
31,C 0701-207,OpC,07 03 05.0,-20 49 00,,,,,,,106,0
32,NGC 2324,OpC,07 04 07,+01 02.7,,8.83,8.4,,,,122,0
33,NGC 2354,OpC,07 14 10,-25 41.4,,7.28,6.5,,,,72,0
34,NGC 2355,OpC,07 16 59,+13 45.0,,,9.7,,,,62,0
35,NGC 2360,OpC,07 17 43,-15 38.5,,7.62,7.2,,,,164,0
36,Haffner 6,OpC,07 20 03,-13 09.0,,9.97,9.2,,,,24,0
37,Melotte 66,OpC,07 26 23,-47 40.0,,8.73,7.8,,,,168,0
38,Melotte 71,OpC,07 37 34,-12 03.3,,7.44,7.1,,,,89,0
39,NGC 2420,OpC,07 38 23,+21 34.4,,9.0,8.3,,,,390,0
40,ESO 368-7,OpC,07 38 42,-33 50.1,,,,,,,43,0
41,Berkeley 39,OpC,07 46 42,-04 36.0,,,,,,,149,1
42,NGC 2477,OpC,07 52 10,-38 31.8,,6.64,5.8,,,,253,0
43,NGC 2506,OpC,08 00 01,-10 46.2,,8.28,7.6,,,,216,0
44,C 0816-414,OpC,08 17 58,-41 40.2,,,,,,,28,0
45,C 0829-385,OpC,08 31 16,-38 39.5,,,,,,,21,0
46,NGC 2627,OpC,08 37 15,-29 57.3,,,8.4,,,,44,0
47,NGC 2632,OpC,08 40 24,+19 40.0,,3.46,3.1,,,,1166,0
48,NGC 2660,OpC,08 42 38,-47 12.0,,9.05,8.8,,,,125,0
49,NGC 2682,OpC,08 51 18,+11 48.0,,7.6,6.9,,,,1971,0
50,NGC 2849,OpC,09 19 23,-40 31.0,,,12.5,,,,22,0
51,ESO 92-18,OpC,10 14 47,-64 35.4,,,,,,,23,0
52,ESO 93-8,GlC,11 19 41.9,-65 13 11,,,,,,,17,0
53,NGC 3680,OpC,11 25 38,-43 14.6,,8.40,7.6,,,,284,0
54,Collinder 261,OpC,12 38 11.5,-68 22 01,,,10.7,,,,152,0
55,NGC 4815,OpC,12 58 01,-64 57.6,,9.61,8.6,,,,65,0
56,NGC 5822,OpC,15 04 28,-54 23.4,,,6.5,,,,166,0
57,ESO 224-8,OpC,15 39 05.4,-50 03 02,,,,,,,49,0
58,IC 4651,OpC,17 24 49,-49 56.0,,7.76,6.9,,,,305,0
59,IC 4756,OpC,18 38 31.2,+05 29 24,,4.96,4.6,,,,193,0
60,NGC 6749,GlC,19 05 15.36,+01 54 00.0,,,12.4,,,,118,0
61,NGC 6791,OpC,19 20 53,+37 46.3,,10.52,9.5,,,,833,0
62,NGC 6802,OpC,19 30 36.0,+20 15 34,,10.07,8.8,,,,72,0
63,NGC 6819,OpC,19 41 18,+40 11.2,,8.21,7.3,,,,432,0
64,NGC 6827,OpC,19 48 53.0,+21 11 52,,,,,,,10,0
65,NGC 6939,OpC,20 31 30,+60 39.7,,8.85,7.8,,,,132,0
66,Berkeley 54,OpC,21 03 00,+40 26.4,,,,,,,22,0
67,NGC 7044,OpC,21 13 10,+42 29.7,,,12.0,,,,46,0
68,Berkeley 56,OpC,21 17 42.0,+41 54 00,,,,,,,13,0
69,NGC 7142,OpC,21 45 10.0,+65 46 18,,10.36,9.3,,,,116,0
70,King 9,OpC,22 15 30.0,+54 23 54,,,,,,,13,0
71,C 2345+683,OpC,23 47 48,+68 38.0,,16.7,,,,,52,0
