#The ages of the oldest open clusters
#
#Determined by Salaris M., Weiss A., S.M. Percival 2004, Astron. Astrophys. 414, 163 (2004A&A...414..163S)
# 
#The column are :
#
#Cluster name
#Value of the delta(V) morphogical parameter and its associated error
#Metallicity and error 
#Age in [Gyr] and error
#log age
#Galactocentric distance in [kpc]
#Height to the Galactic plane [pc]
#
#
Name	deltaV	sigdV	[FeH]	sigFeH	t[Gyr]	sigt[Gyr]	logt	Rgc[kpc]	z[pc]
Arp-Madore_2	2.5	0.15	0.00	0.15	7.24	1.93	0.86	14.06	-740
Berkeley_17	2.8	0.15	-0.33	0.15	10.06	2.77	1.00	10.89	-155
Berkeley_18	2.3	0.15	0.02	0.15	5.69	1.49	0.76	12.09	325
Berkeley_20	2.1	0.05	-0.61	0.15	4.05	0.69	0.61	16.12	-2420
Berkeley_21	1.6	0.25	-0.97	0.15	2.18	0.78	0.34	14.27	-255
Berkeley_22	2.1	0.25	-0.30	0.15	4.26	1.65	0.63	11.92	-530
Berkeley_29	2.1	0.05	-0.18	0.15	4.34	0.74	0.64	18.72	1465
Berkeley_30	0.3	0.15	0.00	0.20	0.74	0.16	-0.13	10.58	120
Berkeley_31	2.3	0.25	-0.40	0.15	5.32	2.11	0.73	12.02	340
Berkeley_32	2.4	0.15	-0.50	0.15	5.91	1.56	0.77	11.30	235
Berkeley_39	2.4	0.05	-0.15	0.09	7.00	1.00	0.85	11.71	700
Berkeley_42	0.4	0.25	0.00	0.20	0.80	0.24	-0.10	7.60	-45
Berkeley_54	2.5	0.25	0.02	0.09	7.27	2.97	0.86	8.54	-165
Berkeley_56	2.3	0.25	0.00	0.20	5.67	2.26	0.75	9.92	-515
Berkeley_66	2.0	0.25	0.00	0.20	3.98	1.52	0.60	12.59	20
vdBergh-Hagen_176	2.5	0.25	0.00	0.20	7.24	2.98	0.86	12.00	1350
Collinder_261	2.6	0.15	-0.16	0.15	8.00	2.16	0.90	7.49	-250
ESO_092-18	2.2	0.25	0.00	0.20	5.03	1.98	0.70	9.00	-740
ESO_093-08	2.4	0.25	0.00	0.20	6.40	2.59	0.81	13.00	-1000
Haffner_6	0.3	0.25	0.00	0.20	0.73	0.21	-0.14	10.91	15
IC_166	1	0.25	-0.27	0.15	1.32	0.43	0.12	10.74	-10
IC_4651	1.2	0.15	0.00	0.09	1.68	0.39	0.23	7.65	-125
IC_4756	0.4	0.15	-0.03	0.06	0.79	0.17	-0.10	8.19	35
King_2	2.2	0.15	0.00	0.20	5.03	1.31	0.70	12.98	-510
King_9	2	0.25	0.00	0.20	3.98	1.52	0.60	10.41	-145
King_11	2.3	0.15	-0.23	0.15	5.46	1.43	0.74	9.69	345
King_5	0.4	0.15	-0.30	0.15	0.76	0.16	-0.12	10.34	-163
Hyades	0.4	0.05	0.13	0.06	0.70	0.10	-0.15	8.55	-20
Melotte_66	2.3	0.15	-0.38	0.06	5.33	1.38	0.73	9.44	-710
Melotte_71	0.5	0.15	-0.30	0.06	0.83	0.18	-0.08	10.46	210
NGC_188	2.4	0.15	-0.03	0.06	6.30	0.80	0.80	9.35	580
NGC_752	0.9	0.05	-0.09	0.06	1.24	0.20	0.09	8.75	-145
NGC_1193	2.1	0.15	-0.35	0.11	4.23	1.08	0.63	12.00	-845
NGC_1245	0.7	0.15	0.10	0.15	1.06	0.23	0.03	11.09	-465
NGC_1798	1.0	0.15	-0.47	0.15	1.28	0.29	0.11	11.79	290
NGC_1817	0.8	0.05	-0.10	0.09	1.12	0.18	0.05	10.26	-410
NGC_2141	1.6	0.25	-0.26	0.15	2.45	0.88	0.39	12.60	-430
NGC_2158	1.4	0.15	-0.48	0.11	1.91	0.45	0.28	12.36	120
NGC_2192	0.6	0.15	-0.31	0.15	0.91	0.20	-0.04	11.88	635
NGC_2194	0.5	0.15	0.00	0.20	0.87	0.19	-0.06	11.06	-110
NGC_2204	1.4	0.15	-0.38	0.08	2.00	0.30	0.30	11.84	-1200
NGC_2236	0.4	0.25	0.00	0.20	0.80	0.24	-0.10	11.61	-100
NGC_2243	2.2	0.15	-0.48	0.06	4.66	1.20	0.67	10.76	-1130
NGC_2266	0.5	0.25	0.00	0.20	0.87	0.26	-0.06	11.80	600
NGC_2324	0.3	0.25	-0.52	0.11	0.67	0.20	-0.17	11.29	185
