Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
Berkeley 58,00 00 12,+60 58 00,116.753,-1.289,3715,14.55,0.55,8.40,,-83.6,5.0,,,,,525,519
Stock 18,00 01 37,+64 37 30,117.624,2.268,2800,14.41,0.70,6.78,B0,110.8,6.0,,,,,2261,2261
Berkeley 59,00 02 13,+67 25 11,118.22,5.00,1000,13.78,1.22,6.80,,87.2,20.4,,-6.50,-4.40,+00.73,27,21
Blanco 1,00 04 07,-29 50 00,15.572,-79.261,269,7.18,0.010,7.796,B5,-264.3,70.0,+0.23,,+20.17,+3.00,109,105
ASCC 1,00 09 35,+62 40 48,118.15,0.19,4000,13.51,0.16,8.25,,13.3,24.0,,-76.15,-2.07,+0.46,32,32
Berkeley 1,00 09 36,+60 28 30,117.796,-1.979,2420,14.35,0.78,8.60,,-83.6,5.0,,,,,2800,2800
King 13,00 10 06,+61 10 00,117.968,-1.306,3100,15.00,0.82,8.50,,-70.7,5.0,,,,,4253,3955
Alessi 20,00 10 33,+58 45 35,117.64,-3.69,450,8.95,0.22,8.22,,-29.0,36.0,,,7.48,-2.61,42,42
ASCC 2,00 19 51,+55 42 35,118.46,-6.89,1200,10.71,0.10,8.83,,-144.0,36.0,,,-0.91,-3.94,57,57
Mayer 1,00 21 54,+61 44 24,119.44,-0.93,1429,12.02,0.40,7.74,,-23.2,24.0,,-20.9,-5.27,-5.87,15146,15131
King 1,00 22 04,+64 22 50,119.763,1.690,1900,13.56,0.70,9.30,,56.0,9.0,,,,,2927,2927
Stock 20,00 25 15,+62 37 11,119.92,-0.10,909,10.41,0.20,8.53,B5,-1.6,19.2,,,-0.40,-1.12,23,23
NGC 0103,00 25 16,+61 19 24,119.797,-1.389,3026,13.66,0.406,8.126,B3,-73.4,4.0,,,,,43,43
Stock 21,00 29 49,+57 55 11,120.05,-4.83,1100,11.45,0.40,8.72,A1,-92.6,16.8,,,-0.12,-1.52,10,10
NGC 0129,00 30 00,+60 13 06,120.270,-2.543,1625,12.75,0.548,7.886,B5,-72.1,19.0,,-38.5,-1.06,+1.60,59,56
ASCC 3,00 31 08,+55 16 47,120.02,-7.48,1700,11.68,0.17,7.90,,-221.3,25.2,,-37.00,-1.92,-1.25,31,31
NGC 0133,00 31 19,+63 21 00,120.678,0.566,630,10.86,0.60,7.00,A4,6.2,7.0,,,-0.70,-0.40,26,26
NGC 0136,00 31 31,+61 30 36,120.558,-1.270,5220,15.76,0.70,8.40,,-115.7,1.5,,,,,874,874
King 14,00 31 54,+63 10 00,120.729,0.379,2593,13.35,0.414,7.924,B2,17.2,6.0,,,,,2623,2580
NGC 0146,00 33 03,+63 18 06,120.868,0.504,3032,13.90,0.480,7.822,B3,26.7,7.0,,,,,1177,1132
NGC 0189,00 39 35,+61 05 06,121.499,-1.744,752,10.68,0.42,7.00,A0,-22.9,3.0,,,,,14,14
Dias 1,00 42 35,+64 04 05,121.964,1.213,1690,14.49,1.08,7.10,,35.8,4.0,,,,,422,422
NGC 0225,00 43 39,+61 46 30,122.011,-1.083,657,9.94,0.274,8.114,B8,-12.4,12.0,,,-4.95,-0.50,67,45
Czernik 2,00 43 42,+60 09 00,121.968,-2.707,,,,,,,10.0,,,,,18459,18459
King 16,00 43 45,+64 11 08,122.095,1.326,1920,14.18,0.89,,B0,44.4,5.0,,,,,1400,1400
Berkeley 4,00 45 01,+64 23 05,122.238,1.522,2460,14.53,0.83,7.10,,65.3,24.0,,,-1.29,+00.12,1423,1402
NGC 0188,00 47 28,+85 15 18,122.843,22.384,2047,11.81,0.082,9.632,F2,779.5,17.0,-0.02,-44.00,-1.48,-0.56,7911,5949
Berkeley 61,00 48 30,+67 12 00,122.647,4.330,3335,16.00,1.09,8.30,,251.8,3.0,,,,,2087,2087
IC 1590,00 52 48,+56 37 00,123.123,-6.243,2940,13.33,0.32,6.54,B0,-319.7,29.0,,,,,50,50
ASCC 4,00 53 09,+61 34 48,123.13,-1.29,750,10.31,0.30,8.34,,-16.9,48.0,,-9.55,+0.11,-1.48,77,77
Alessi 1,00 53 27,+49 34 11,123.26,-13.30,800,9.82,0.10,8.85,,-184.0,54.0,,,6.51,-7.70,88,88
ASCC 5,00 57 57,+55 50 24,123.85,-7.02,1500,11.65,0.25,7.03,,-183.3,15.6,,-43.00,-3.10,-2.91,16,16
Berkeley 62,01 01 00,+63 57 00,123.982,1.098,1837,13.96,0.852,7.185,,35.2,5.0,,,,,28,14
NGC 0381,01 08 19,+61 35 00,124.939,-1.223,1148,11.54,0.40,8.505,A2,-24.5,6.0,+0.07,,+0.87,-1.34,219,207
Platais 2,01 13 01,+32 04 48,128.23,-30.57,201,6.67,0.05,8.54,,-102.2,204.0,,0.10,13.21,-9.98,466,466
NGC 0433,01 15 11,+60 07 36,125.888,-2.609,2323,14.50,0.86,7.50,B0,-105.7,2.0,,,,,20,20
NGC 0436,01 15 58,+58 48 42,126.111,-3.909,3014,13.82,0.460,7.926,B5,-205.5,5.0,,-74.4,,,44,44
NGC 0457,01 19 35,+58 17 12,126.635,-4.383,2429,13.39,0.472,7.324,B2,-185.6,20.0,,-34.00,-0.61,-1.90,3898,3886
NGC 0559,01 29 31,+63 18 24,127.193,0.750,1258,12.95,0.790,7.748,,16.5,6.0,,,,,7100,7100
NGC 0581,01 33 23,+60 39 00,128.053,-1.804,2194,12.89,0.382,7.336,B2,-69.1,5.0,,-37.00,-1.60,+0.66,330,325
Trumpler 1,01 35 42,+61 17 00,128.224,-1.133,2563,13.85,0.582,7.480,B2,-50.7,3.0,,,,,29,29
NGC 0637,01 43 04,+64 02 24,128.546,1.732,2160,13.64,0.634,6.980,B0,65.3,3.0,,-46.00,,,28,26
NGC 0654,01 44 00,+61 53 06,129.082,-0.357,2041,14.24,0.868,7.148,B0,-12.7,5.0,,-33.8,-1.34,-0.72,4,4
NGC 0659,01 44 24,+60 40 24,129.375,-1.534,1938,13.46,0.652,7.548,B0,-51.9,5.0,,,-2.67,+1.07,30,30
NGC 0663,01 46 09,+61 14 06,129.467,-0.941,1952,13.87,0.780,7.209,B1,-32.1,14.0,,-32.0,-1.49,-2.30,1649,1359
ASCC 6,01 47 13,+57 43 47,130.34,-4.34,1200,11.33,0.30,8.17,,-90.8,36.0,,-20.00,-1.02,-1.18,65,65
Collinder 463,01 48 24,+71 57 00,127.192,9.389,702,10.03,0.259,8.373,,114.5,29.0,,,-0.91,-0.90,121,84
Collinder 21,01 50 11,+27 04 00,138.733,-33.996,,,,,,,9.0,,,,,12,12
Berkeley 6,01 51 12,+61 05 00,130.094,-0.955,2300,14.25,0.78,8.00,,-38.3,5.0,,,,,4688,3311
IC 166,01 52 30,+61 50 00,130.071,-0.189,3970,16.25,1.050,8.629,,-13.1,7.0,-0.17,,,,9,9
Stock 4,01 52 58,+57 04 11,131.25,-4.81,1200,10.71,0.10,8.70,B5,-100.6,25.2,,,1.47,+01.18,52,52
