Simbad_ID,Name_webda,RA_2000_webda,Dec_2000_webda,l_webda,b_webda,Dist_webda,Mod_webda,EB-V_webda,Age_webda,ST_webda,Z_webda,Diam_webda,Fe/H_webda,MRV_webda,pm RA_webda,pm Dec_webda,Measures_webda,Stars_webda
Cl_Berkeley_58,Berkeley_58,00 00 12,+60 58 00,116.75299999999999,-1.2890000000000001,3715.0,14.55,0.55,8.4,,-83.6,5.0,,,,,525,519
Cl_Stock_18,Stock_18,00 01 37,+64 37 30,117.624,2.2680000000000002,2800.0,14.41,0.7,6.78,B0,110.8,6.0,,,,,2261,2261
Cl_Berkeley_59,Berkeley_59,00 02 13,+67 25 11,118.22,5.0,1000.0,13.78,1.22,6.8,,87.2,20.4,,-6.5,-4.4,0.73,27,21
Cl_Blanco_1,Blanco_1,00 04 07,-29 50 00,15.572000000000001,-79.26100000000001,269.0,7.18,0.01,7.796,B5,-264.3,70.0,0.23,,20.17,3.0,109,105
[KPR2005]_1,ASCC_1,00 09 35,+62 40 48,118.15,0.19,4000.0,13.51,0.16,8.25,,13.3,24.0,,-76.15,-2.07,0.46,32,32
Cl_Berkeley_1,Berkeley_1,00 09 36,+60 28 30,117.796,-1.979,2420.0,14.35,0.78,8.6,,-83.6,5.0,,,,,2800,2800
C_0007+609,King_13,00 10 06,+61 10 00,117.96799999999999,-1.306,3100.0,15.0,0.82,8.5,,-70.7,5.0,,,,,4253,3955
[KPR2004b]_4,Alessi_20,00 10 33,+58 45 35,117.64,-3.69,450.0,8.95,0.22,8.22,,-29.0,36.0,,,7.48,-2.61,42,42
[KPR2005]_2,ASCC_2,00 19 51,+55 42 35,118.46,-6.89,1200.0,10.71,0.1,8.83,,-144.0,36.0,,,-0.91,-3.94,57,57
NAME_Cl_Mayer_1,Mayer_1,00 21 54,+61 44 24,119.44,-0.93,1429.0,12.02,0.4,7.74,,-23.2,24.0,,-20.9,-5.27,-5.87,15146,15131
C_0019+641,King_1,00 22 04,+64 22 50,119.76299999999999,1.69,1900.0,13.56,0.7,9.3,,56.0,9.0,,,,,2927,2927
Cl_Stock_20,Stock_20,00 25 15,+62 37 11,119.92,-0.1,909.0,10.41,0.2,8.53,B5,-1.6,19.2,,,-0.4,-1.12,23,23
NGC_103,NGC_103,00 25 16,+61 19 24,119.79700000000001,-1.389,3026.0,13.66,0.406,8.126,B3,-73.4,4.0,,,,,43,43
C_0027+577,Stock_21,00 29 49,+57 55 11,120.05,-4.83,1100.0,11.45,0.4,8.72,A1,-92.6,16.8,,,-0.12,-1.52,10,10
NGC_129,NGC_129,00 30 00,+60 13 06,120.27,-2.543,1625.0,12.75,0.5479999999999999,7.886,B5,-72.1,19.0,,-38.5,-1.06,1.6,59,56
[KPR2005]_3,ASCC_3,00 31 08,+55 16 47,120.02,-7.48,1700.0,11.68,0.17,7.9,,-221.3,25.2,,-37.0,-1.92,-1.25,31,31
