Name         |ra       |dec      |distance|log_age|angular_diameter|alt_name|lii   |bii   |iau_num  |seq_code|seq_num|prec_ra|prec_dec|lund_record_num|ocl_num|ref_angular_diameter|ref_distance|ref_log_age|metallicity|ref_metallicity|e_bv|ref_e_bv|type_flag|ref_type_flag|tr_concent_class|tr_range_class|tr_richness_class|tr_nebulosity|sb_bs_mag|sb_spect_code|sb_total_mag|sk_total_mag|sk_bv_color|sk_num_stars|ja_star_num|ja_class|ja_max_class|ja_richness|ja_e_bv|ref_ja_e_bv|ja_bv_turnoff|ref_ja_bv_turnoff|ly_tr_concent_class|ly_tr_range_class|ly_tr_richness_class|ly_tr_nebulosity|ly_member_stars|ly_angular_diameter|ly_refs_flag|radvel_weight|radvel|radvel_weight_class|ref_radvel1|ref_radvel2|ref_radvel3|ref_radvel4|ref_radvel5|basel_spect_code|basel_color_type|neg_ra_tracer|neg_lii_tracer|neg_seq_num_tracer|pos_ra_tracer|pos_lii_tracer|pos_seq_num_tracer|jdl_distance|jdl_distance_weight|jdl_turnoff_color|jdl_age|jdl_age_weight|jdl_reddening|jdl_reddening_flag|jdl_reddening_weight|ref_jdl1|ref_jdl2|ref_jdl3|ref_jdl4|ref_jdl5|ref_jdl6|
BERKELEY 59  |  0.64425| 67.37840|        |       |            10.0|0000+671|118.25|  4.95|C0000+671|       3|     59|   0.52|     3.3|              3|    286|                 419|            |           |           |               |    |        |         |             |               3|             2|P                |             |     11.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  1|                3|M                   |N               |             40|            1.0e+01|           1|             |      |                   |           |           |           |           |           |               0|               0|            2|             9|                 1|            4|            10|                10|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
BERKELEY 104 |  0.87085| 63.59506|        |       |             4.0|0000+633|117.63|  1.22|C0000+633|       3|    104|   0.52|     3.3|              4|    282|                 419|            |           |           |               |    |        |         |             |               4|             2|P                |             |     16.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  2|                1|P                   |-               |             15|            3.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            3|             2|              1044|            5|             7|                 0|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
BLANCO 1     |  1.06343|-29.92162|     190|   7.70|            89.0|0001-302| 14.97|-79.26|C0001-302|      24|      1|   0.51|     3.3|              5|     43|                  49|         170|        374|       0.03|            322|0.09|64      |         |             |               3|             2|M                |             |      8.0|        10105|            |            |           |            |         20|       1|           1|          1|   0.00|        380|        -0.15|              380|                  4|                3|M                   |-               |             30|            7.0e+01|           1|            0|     5|                  2|          1|         73|           |           |           |               0|               0|            4|           869|                 0|            6|           827|                 0|         240|                  4|            -0.15|     70|             3|         0.02|                  |                   3|     138|     123|        |        |        |        |
STOCK 19     |  1.09607| 56.02838|        |       |             3.0|0001+557|116.35| -6.24|C0001+557|      11|     19|   0.52|     3.3|              6|    274|                 437|            |           |           |               |    |        |         |             |               2|             2|P                |             |      8.0|        10105|            |            |           |            |           |        |            |           |       |           |             |                 |                  3|                1|P                   |-               |              6|            2.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            5|          1051|                 2|            7|          1052|                44|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
CZERNIK 1    |  1.92972| 61.41163|        |       |             9.0|0005+611|117.73| -1.02|C0005+611|       4|      1|   0.52|     3.3|              7|    283|                 117|            |           |           |               |    |        |DO       |           19|               4|             2|M                |             |         |             |            |            |           |            |           |        |            |           |       |           |             |                 |                  1|                2|P                   |-               |             12|            3.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            6|             4|                 0|            8|             8|                27|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
BERKELEY 1   |  2.40822| 60.42822|        |       |             5.0|0007+601|117.79| -2.03|C0007+601|       3|      1|   0.53|     3.3|              8|    284|                 419|            |           |           |               |    |        |         |             |               4|             2|P                |             |         |             |            |            |           |            |           |        |            |           |       |           |             |                 |                  3|                1|P                   |-               |             10|            5.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            7|             7|                 0|            9|             9|                12|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
KING 13      |  2.53490| 61.21153|        |       |             7.0|0007+609|117.98| -1.28|C0007+609|      10|     13|   0.53|     3.3|              9|    285|                 329|            |           |           |               |    |        |         |             |               4|             2|P                |             |     12.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  2|                2|M                   |-               |             30|            5.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            8|             8|              1050|           10|             3|                19|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
BERKELEY 60  |  4.42607| 60.96103|        |       |             4.0|0015+606|118.85| -1.64|C0015+606|       3|     60|   0.54|     3.3|             10|    288|                 419|            |           |           |               |    |        |         |             |               4|             2|P                |             |     14.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  3|                1|P                   |-               |             20|            3.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|            9|             3|                 3|           11|          1155|                30|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
KING 1       |  5.49230| 64.39395|        |       |             7.0|0019+641|119.75|  1.69|C0019+641|      10|      1|   0.55|     3.3|             11|    290|                 284|            |           |           |               |    |        |         |             |               3|             2|P                |             |     13.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  2|                2|R                   |-               |            100|            9.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|           10|            12|                 0|         1155|            13|                32|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
BERKELEY 2   |  6.31620| 60.39356|        |       |             4.0|0022+601|119.70| -2.31|C0022+601|       3|      2|   0.55|     3.3|             12|    289|                 419|            |           |           |               |    |        |         |             |               1|             3|M                |             |     15.0|             |            |            |           |            |           |        |            |           |       |           |             |                 |                  1|                1|M                   |-               |             30|            2.0e+00|           1|             |      |                   |           |           |           |           |           |               0|               0|           44|          1155|                 8|           13|            11|                29|            |                   |                 |       |              |             |                  |                    |        |        |        |        |        |        |
