#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-09-09T16:33:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d767ebcf079	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/131/1559&tab:{J/AJ/131/1559/table1}&key:source=J/AJ/131/1559&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/1559/table1
#-order=I
#-out=Seq
#-out=Name
#-out=l
#-out=Diam
#-out=R
#-out=Z
#-out=E(B-V)
#-out=logT
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51311559
#Name: J/AJ/131/1559
#Title: Diameters of Galactic open star clusters (van den Bergh+, 2006)
#Table	J_AJ_131_1559_table1:
#Name: J/AJ/131/1559/table1
#Title: Diameters of open clusters
#Column	Seq	(I3)	Running cluster number	[ucd=meta.record]
#Column	Name	(a11)	Cluster name	[ucd=meta.id;meta.main]
#Column	l	(I3)	Truncated Galactic longitude	[ucd=pos.galactic.lon]
#Column	Diam	(F5.2)	Cluster diameter	[ucd=pos.distance]
#Column	R	(I5)	Cluster distance from the Sun	[ucd=pos.distance]
#Column	Z	(I5)	Galactic plane scale height (1)	[ucd=instr.scale;pos.galactic]
#Column	E(B-V)	(F5.2)	? The reddening from photoelectric photometry	[ucd=phot.color.excess]
#Column	logT	(F5.2)	? Log of the cluster age (2)	[ucd=time.age]
#Column	SimbadName	(a20)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Seq|Name|l[deg]|Diam[pc]|R[pc]|Z[pc]|E(B-V)|logT[yr]|SimbadName|_RA[deg]|_Dec[deg]
  1|Trumpler 31|  2| 1.43|  986|  -39| 0.35| 8.87|Cl Trumpler 31      |269.97500|-28.18333
  2|N6520      |  2| 2.29| 1577|  -78| 0.43| 7.72|NGC 6520            |270.85000|-27.88333
  3|N6530      |  6| 5.42| 1330|  -31| 0.33| 6.87|NGC 6530            |271.12500|-24.36667
  4|Bochum 14  |  6| 0.34|  578|   -5| 1.51| 7.00|Cl Bochum 14        |270.50000|-23.70000
  5|N6514      |  7| 6.65|  816|   -4| 0.19| 7.37|NGC 6514            |270.59583|-23.03000
  6|N6546      |  7| 3.82|  938|  -23| 0.49| 7.85|NGC 6546            |271.90000|-23.33333
  7|N6531      |  7| 2.91| 1205|   -7| 0.28| 7.07|NGC 6531            |271.05000|-22.48333
  8|N6494      |  9| 5.30|  628|   31| 0.36| 8.48|NGC 6494            |269.25000|-18.98333
  9|Markar. 38 | 11| 0.86| 1471|  -24| 0.40| 6.88|Mrk 38              |169.56958|+53.74861
 10|Trumpler 33| 12| 2.55| 1755|  -99| 0.36| 7.68|Cl Trumpler 33      |276.17500|-19.71667
 11|Collin. 469| 12| 1.29| 1481|  -20| 0.42| 7.80|Cl Collinder 469    |274.10000|-18.21667
 12|N6603      | 12| 6.28| 3600|  -82| 0.79| 8.30|NGC 6603            |274.60000|-18.43333
 13|I4725      | 13| 5.23|  620|  -48| 0.48| 7.96|IC 4725             |277.92500|-19.11667
 14|N6613      | 14| 1.88| 1296|  -23| 0.45| 7.22|NGC 6613            |275.00000|-17.10000
 15|Collin. 394| 14| 4.42|  690| -112| 0.24| 7.80|Cl Collinder 394    |283.10000|-20.20000
 16|N6618      | 15| 9.45| 1300|  -17| 1.51| 6.00|NGC 6618            |275.10833|-16.17667
 17|N6716      | 15| 2.30|  789| -131| 0.22| 7.96|NGC 6716            |283.62500|-19.90000
 18|Blanco 1   | 15| 5.48|  269| -264| 0.01| 7.80|Cl Blanco 1         |000.82500|-30.13333
 19|N6611      | 16| 3.05| 1749|   24| 0.78| 6.88|NGC 6611            |274.70000|-13.81667
 20|Trumpler 32| 17| 2.50| 1720|   39| 0.64| 8.48|Cl Trumpler 32      |274.37500|-13.35000
 21|N6604      | 18| 2.47| 1696|   50| 0.97| 6.81|NGC 6604            |274.50000|-12.23333
 22|N6631      | 19| 4.54| 2600|   -8| 0.45| 8.60|NGC 6631            |276.80000|-12.03333
 23|Rupr. 147  | 21| 1.27|  174|  -39| 0.15|     |Cl Ruprecht 147     |289.17500|-16.30000
 24|N6649      | 21| 1.99| 1369|  -19| 1.20| 7.57|NGC 6649            |278.37500|-10.40000
 25|N6694      | 23| 3.26| 1600|  -81| 0.59| 7.93|NGC 6694            |281.32500|-09.38333
 26|N6664      | 24| 4.06| 1164|   -6| 0.71| 7.16|NGC 6664            |279.17500|-08.21667
 27|N6683      | 26| 1.04| 1197|  -16| 0.54| 7.00|NGC 6683            |280.55000|-06.28333
 28|N6705      | 27| 7.10| 1877|  -91| 0.43| 8.30|NGC 6705            |282.75000|-06.26667
 29|Basel 1    | 27| 3.17| 2178|  -74| 0.48| 7.89|Cl Basel 1          |282.05000|-05.85000
 30|N6704      | 28| 4.33| 2974| -115| 0.72| 7.86|NGC 6704            |282.72500|-05.20000
 31|Trumpler 35| 28| 1.75| 1206|    0| 1.22| 7.86|Cl Trumpler 35      |280.72500|-04.13333
 32|Collin. 359| 29|17.37|  249|   54| 0.19| 7.51|Cl Collinder 359    |270.15000|+02.93333
 33|I4665      | 30| 7.17|  352|  103| 0.17| 7.63|IC 4665             |266.57500|+05.71667
 34|Berkeley 79| 31| 4.01| 2300|   33| 1.19| 7.81|Cl Berkeley 79      |281.30000|-01.21667
 35|Alessi 10  | 31| 2.69|  513| -184| 0.22| 8.35|Cl Alessi 10        |301.20000|-10.52500
 36|Berkeley 81| 33| 4.36| 3000| -131| 1.00| 9.00|Cl Berkeley 81      |285.40000|-00.51667
 37|N6994      | 35| 1.62|  620| -346| 0.07| 9.40|NGC 6994            |314.75000|-12.63333
 38|N6633      | 36| 2.19|  376|   54| 0.18| 8.63|NGC 6633            |276.88000|+06.57000
 39|Berkeley 42| 36| 2.66| 1826|  -69| 0.76| 9.32|Cl Berkeley 42      |286.27500|+01.88333
 40|I4756      | 36| 5.49|  484|   44| 0.19| 8.70|IC 4756             |279.63000|+05.49000
 41|N6755      | 38| 5.79| 1421|  -42| 0.83| 7.72|NGC 6755            |286.95000|+04.23333
 42|N6756      | 39| 1.75| 1507|  -44| 1.18| 7.79|NGC 6756            |287.17500|+04.68333
 43|Alessi 19  | 40|14.08|  550|  121| 0.04| 8.00|Cl Alessi 19        |274.60000|+12.02500
 44|N6709      | 42| 4.38| 1075|   88| 0.30| 8.18|NGC 6709            |282.82500|+10.31667
 45|Berkeley 82| 46| 0.50|  860|   24| 1.02| 7.49|Cl Berkeley 82      |287.83333|+13.11083
 46|Collin. 399| 54|33.42| 1291|   44| 0.38| 8.20|Cl Collinder 399    |291.35000|+20.18333
 47|N6802      | 55| 1.63| 1124|   18| 0.85| 8.87|NGC 6802            |292.65000|+20.26667
 48|Harvard 20 | 56| 3.14| 1540| -125| 0.25| 7.48|Cl Harvard 20       |298.27500|+18.33333
 49|Roslund 3  | 58| 2.13| 1467| -120| 0.35| 8.04|Cl Roslund 3        |299.67500|+20.48333
