Simbad_ID,Seq,Name,l[deg],Diam[pc],R[pc],Z[pc],E(B-V),logT[yr],SimbadName,_RA[deg],_Dec[deg]
Trumpler_31,1,Trumpler_31,2,1.43,986,-39, 0.35, 8.87,Trumpler_31,269.975,-28.183329999999998
NGC_6520,2,NGC_6520,2,2.29,1577,-78, 0.43, 7.72,NGC_6520,270.85,-27.883329999999997
NGC_6530,3,NGC_6530,6,5.42,1330,-31, 0.33, 6.87,NGC_6530,271.125,-24.366670000000003
Cl_Bochum_14,4,Bochum_14,6,0.34,578,-5, 1.51, 7.00,Bochum_14,270.5,-23.7
NGC_6514,5,NGC_6514,7,6.65,816,-4, 0.19, 7.37,NGC_6514,270.59583,-23.03
NGC_6546,6,NGC_6546,7,3.82,938,-23, 0.49, 7.85,NGC_6546,271.9,-23.33333
M_21,7,NGC_6531,7,2.91,1205,-7, 0.28, 7.07,NGC_6531,271.05,-22.48333
M_23,8,NGC_6494,9,5.3,628,31, 0.36, 8.48,NGC_6494,269.25,-18.98333
Cl_Trumpler_33,10,Trumpler_33,12,2.55,1755,-99, 0.36, 7.68,Trumpler_33,276.175,-19.71667
Cl_Collinder_469,11,Collinder_469,12,1.29,1481,-20, 0.42, 7.80,Collinder_469,274.1,-18.21667
NGC_6603,12,NGC_6603,12,6.28,3600,-82, 0.79, 8.30,NGC_6603,274.6,-18.433329999999998
IC_4725,13,IC_4725,13,5.23,620,-48, 0.48, 7.96,IC_4725,277.925,-19.116670000000003
M_18,14,NGC_6613,14,1.88,1296,-23, 0.45, 7.22,NGC_6613,275.0,-17.1
C_1850-204,15,Collinder_394,14,4.42,690,-112, 0.24, 7.80,Collinder_394,283.1,-20.2
NGC_6618,16,NGC_6618,15,9.45,1300,-17, 1.51, 6.00,NGC_6618,275.10832999999997,-16.17667
NGC_6716,17,NGC_6716,15,2.3,789,-131, 0.22, 7.96,NGC_6716,283.625,-19.9
Cl_Blanco_1,18,Blanco_1,15,5.48,269,-264, 0.01, 7.80,Blanco_1,0.825,-30.133329999999997
M_16,19,NGC_6611,16,3.05,1749,24, 0.78, 6.88,NGC_6611,274.7,-13.816670000000002
Cl_Trumpler_32,20,Trumpler_32,17,2.5,1720,39, 0.64, 8.48,Trumpler_32,274.375,-13.35
NGC_6604,21,NGC_6604,18,2.47,1696,50, 0.97, 6.81,NGC_6604,274.5,-12.23333
NGC_6631,22,NGC_6631,19,4.54,2600,-8, 0.45, 8.60,NGC_6631,276.8,-12.03333
NGC_6774,23,Ruprecht_147,21,1.27,174,-39, 0.15,     ,Ruprecht_147,289.175,-16.3
NGC_6649,24,NGC_6649,21,1.99,1369,-19, 1.20, 7.57,NGC_6649,278.375,-10.4
M_26,25,NGC_6694,23,3.26,1600,-81, 0.59, 7.93,NGC_6694,281.325,-9.38333
NGC_6664,26,NGC_6664,24,4.06,1164,-6, 0.71, 7.16,NGC_6664,279.175,-8.21667
NGC_6683,27,NGC_6683,26,1.04,1197,-16, 0.54, 7.00,NGC_6683,280.55,-6.28333
NGC_6705,28,NGC_6705,27,7.1,1877,-91, 0.43, 8.30,NGC_6705,282.75,-6.2666699999999995
C_1845-059,29,Basel_1,27,3.17,2178,-74, 0.48, 7.89,Basel_1,282.05,-5.85
NGC_6704,30,NGC_6704,28,4.33,2974,-115, 0.72, 7.86,NGC_6704,282.725,-5.2
Cl_Trumpler_35,31,Trumpler_35,28,1.75,1206,0, 1.22, 7.86,Trumpler_35,280.725,-4.13333
Collinder_359,32,Collinder_359,29,17.37,249,54, 0.19, 7.51,Collinder_359,270.15,2.9333299999999998
IC_4665,33,IC_4665,30,7.17,352,103, 0.17, 7.63,IC_4665,266.575,5.71667
Cl_Berkeley_79,34,Berkeley_79,31,4.01,2300,33, 1.19, 7.81,Berkeley_79,281.3,-1.2166700000000001
[KPR2004b]_474,35,Alessi_10,31,2.69,513,-184, 0.22, 8.35,Alessi_10,301.2,-10.525
Cl_Berkeley_81,36,Berkeley_81,33,4.36,3000,-131, 1.00, 9.00,Berkeley_81,285.4,-0.51667
M_73,37,NGC_6994,35,1.62,620,-346, 0.07, 9.40,NGC_6994,314.75,-12.63333
NGC_6633,38,NGC_6633,36,2.19,376,54, 0.18, 8.63,NGC_6633,276.88,6.57
IC_4756,40,IC_4756,36,5.49,484,44, 0.19, 8.70,IC_4756,279.63,5.49
NGC_6755,41,NGC_6755,38,5.79,1421,-42, 0.83, 7.72,NGC_6755,286.95,4.2333300000000005
