#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
Alessi_1	4.22	302	-69	0.09	8.20
Alessi_2	4.37	501	55	0.18	8.50
Alessi_3	6.03	288	-76	0.11	8.70
Alessi_5	3.82	398	-14	0.15	7.60
Alessi_6	6.10	437	-42	0.19	8.20
Alessi_8	4.02	575	43	0.09	8.15
Alessi_9	6.24	195	-30	0.07	8.40
Alessi_10	2.69	513	-184	0.22	8.35
Alessi_12	6.25	537	-107	0.08	8.10
Alessi_13	13.41	110	-90	0.04	
Alessi_19	14.08	550	121	0.04	8.00
Arp-Madore_2	7.76	13341	-1366	0.57	9.34
Basel_1	3.17	2178	-74	0.48	7.89
Basel_4	8.25	5675	119	0.53	7.00
Basel_5	1.11	766	-25	0.32	8.87
Basel_6	3.15	1548	89	0.58	7.98
Basel_7	2.45	1684	16	0.40	8.03
Basel_8	11.20	1328	-3	0.37	8.01
Basel_10	1.13	1944	-89	0.77	7.61
Basel_11A	2.21	1520	-21	0.00	8.30
Basel_11B	1.48	1692	-33	0.32	7.82
Basel_12	1.71	1466	-32	0.57	8.50
Basel_13	3.60	1236	-27	0.34	8.80
Basel_14	1.40	964	-60	0.65	8.30
Basel_15	2.36	1355	-2	0.67	8.50
Basel_18	1.94	2226	8	0.52	7.59
Basel_20	5.89	2024	-122	0.41	7.42
Berkeley_2	3.05	5250	-211	0.80	8.90
Berkeley_7	2.99	2570	17	0.80	6.60
Berkeley_11	4.19	2881	-183	0.95	7.72
Berkeley_12	3.68	3162	-110	0.70	9.67
Berkeley_14	8.00	5500	68	0.52	9.20
Berkeley_17	5.50	2700	-172	0.70	10.08
Berkeley_18	20.25	5800	507	0.46	9.63
Berkeley_19	5.62	4831	-302	0.40	9.49
Berkeley_20	4.89	8400	-2494	0.12	9.78
Berkeley_21	7.27	5000	-219	0.76	9.34
Berkeley_22	2.23	7663	-1073	0.70	9.03
Berkeley_23	8.05	6918	657	0.40	8.90
Berkeley_28	2.23	2557	67	0.76	7.85
Berkeley_29	25.95	14871	2076	0.16	9.02
Berkeley_30	4.18	4790	389	0.50	8.48
Berkeley_31	12.03	8272	738	0.08	9.31
Berkeley_32	5.41	3100	238	0.16	9.53
Berkeley_33	5.39	4635	-374	0.70	8.85
Berkeley_39	9.73	4730	838	0.12	9.90
Berkeley_42	2.66	1826	-69	0.76	9.32
Berkeley_54	2.68	2300	-166	0.77	9.60
Berkeley_58	5.40	3715	-84	0.55	8.40
Berkeley_60	3.81	4365	-125	0.86	8.20
Berkeley_62	2.67	1837	35	0.85	7.18
Berkeley_64	2.32	3981	320	1.05	9.00
Berkeley_65	3.31	2274	11	1.12	7.00
Berkeley_66	6.05	5200	20	1.25	9.70
Berkeley_68	5.86	1678	-70	0.67	8.39
Berkeley_69	2.50	2860	-89	0.65	8.95
Berkeley_70	7.26	4158	260	0.48	9.67
Berkeley_79	4.01	2300	33	1.19	7.81
Berkeley_81	4.36	3000	-131	1.00	9.00
Berkeley_82	0.50	860	24	1.02	7.49
Berkeley_86	1.94	1112	25	0.90	7.12
Berkeley_87	1.84	633	3	1.37	7.15
Berkeley_93	3.26	5600	713	1.50	8.00
Berkeley_94	2.30	2630	-54	0.61	7.00
Berkeley_96	1.80	3087	-111	0.63	6.82
Berkeley_99	7.13	4900	860	0.30	9.50
van_den_Bergh-Hagen_23	4.96	437	-7	0.06	7.10
van_den_Bergh-Hagen_66	8.14	7000	-367	0.40	8.90
van_den_Bergh-Hagen_90	2.99	2572	-66	0.53	7.94
van_den_Bergh-Hagen_99	2.95	507	-6	0.06	7.60
van_den_Bergh-Hagen_144	4.08	9354	-515	0.60	8.83
van_den_Bergh-Hagen_176	11.69	13400	1008	0.77	
van_den_Bergh-Hagen_222	3.49	6000	-46	1.85	7.78
van_den_Bergh-Hagen_245	0.29	1000	-9	2.25	7.17
Biurakan_2	6.43	1106	26	0.36	7.01
Blanco_1	5.48	269	-264	0.01	7.80
Bochum_2	1.16	2661	-18	0.83	6.66
Bochum_3	2.05	1762	11	0.24	7.89
Bochum_4	3.33	2291	31	0.63	7.00
Bochum_5	3.80	872	12	0.19	7.54
Bochum_6	11.58	3981	-15	0.70	7.00
Bochum_7	33.48	5754	197	0.86	7.00
Bochum_9	20.07	4600	-126	0.63	
Bochum_10	11.79	2027	-11	0.31	6.86
Bochum_11	14.73	2412	-36	0.58	6.76
Bochum_12	6.45	2218	-69	0.24	7.61
Bochum_13	4.39	1077	26	0.85	6.82
